local_id,x,y,z,rib_index,stringer_index,tag,h,global_id
1672,5.54149828151635,5.96459932928655,0.01,9,22,stringer,extrados,368
1727,5.59846352861122,5.81508357552321,0.01,9,23,stringer,extrados,369
1780,5.65542877570609,5.66556782175987,0.01,9,24,stringer,extrados,370
1830,5.71239402280096,5.51605206799653,0.01,9,25,stringer,extrados,371
1877,5.76935926989583,5.36653631423318,0.01,9,26,stringer,extrados,372
1921,5.82632451699069,5.21702056046984,0.01,9,27,stringer,extrados,373
1962,5.88328976408556,5.0675048067065,0.01,9,28,stringer,extrados,374
2000,5.94025501118043,4.91798905294315,0.01,9,29,stringer,extrados,375
2035,5.9972202582753,4.76847329917981,0.01,9,30,stringer,extrados,376
2068,6.05418550537017,4.61895754541647,0.01,9,31,stringer,extrados,377
2098,6.11115075246503,4.46944179165312,0.01,9,32,stringer,extrados,378
2125,6.1681159995599,4.31992603788978,0.01,9,33,stringer,extrados,379
