x,y,z
5.72518195626014,8.43165431603343,0.01
5.782147203355,8.28213856227008,0.01
5.83911245044987,8.13262280850674,0.01
5.89607769754474,7.9831070547434,0.01
5.95304294463961,7.83359130098006,0.01
6.01000819173448,7.68407554721671,0.01
6.06697343882934,7.53455979345337,0.01
6.12393868592421,7.38504403969003,0.01
6.18090393301908,7.23552828592669,0.01
6.23786918011395,7.08601253216334,0.01
6.29483442720882,6.9364967784,0.01
6.35179967430369,6.78698102463666,0.01
6.40876492139856,6.63746527087331,0.01
6.46573016849342,6.48794951710997,0.01
6.52269541558829,6.33843376334663,0.01
6.57966066268316,6.18891800958328,0.01
6.63662590977803,6.03940225581994,0.01
6.6935911568729,5.8898865020566,0.01
6.75055640396776,5.74037074829326,0.01
6.80752165106263,5.59085499452991,0.01
6.8644868981575,5.44133924076657,0.01
6.92145214525237,5.29182348700323,0.01
6.97841739234724,5.14230773323988,0.01
7.03538263944211,4.99279197947654,0.01
7.09234788653697,4.8432762257132,0.01
7.14931313363184,4.69376047194986,0.01
7.20627838072671,4.54424471818651,0.01
7.26324362782158,4.39472896442317,0.01
7.32020887491645,4.24521321065983,0.01
5.5965256908585,9.7523918241602,0.01
7.66708419587812,4.31783072985754,0.01
5.65349093795337,9.60287607039685,0.01
5.71045618504824,9.45336031663351,0.01
5.76742143214311,9.30384456287017,0.01
5.82438667923797,9.15432880910682,0.01
5.88135192633284,9.00481305534348,0.01
5.93831717342771,8.85529730158014,0.01
5.99528242052258,8.70578154781679,0.01
6.05224766761745,8.55626579405345,0.01
6.10921291471232,8.40675004029011,0.01
6.16617816180718,8.25723428652677,0.01
6.22314340890205,8.10771853276342,0.01
6.28010865599692,7.95820277900008,0.01
6.33707390309179,7.80868702523674,0.01
6.39403915018666,7.65917127147339,0.01
6.45100439728153,7.50965551771005,0.01
6.50796964437639,7.36013976394671,0.01
6.56493489147126,7.21062401018337,0.01
6.62190013856613,7.06110825642002,0.01
6.678865385661,6.91159250265668,0.01
6.73583063275587,6.76207674889334,0.01
6.79279587985073,6.61256099512999,0.01
6.8497611269456,6.46304524136665,0.01
6.90672637404047,6.31352948760331,0.01
